순위,관광지명,주소,분류,합산 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,330104
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,176199
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,163096
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),121512
5,협재해수욕장,제주 제주시,자연경관(하천/해양),120190
6,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,95085
7,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),91792
8,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),74693
9,용두암,제주 제주시 용두암길 15-0,기타관광,70872
10,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,69973
11,이호테우해변,제주 제주시,자연경관(하천/해양),65297
12,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,64490
13,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,63972
14,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,63934
15,월정리해변,제주 제주시,자연경관(하천/해양),63198
16,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,62587
17,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,62037
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,55979
19,비자림,제주 제주시 비자숲길 55-0,자연공원,55603
20,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,54270
21,새별오름,제주 제주시,자연경관(산),51926
22,성산항,제주 서귀포시,자연경관(하천/해양),50710
23,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,50539
24,곽지해수욕장,제주 제주시,자연경관(하천/해양),49665
25,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,40674
26,동문공설시장,제주 제주시 동문로 16-0,시장,40399
27,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,39420
28,정방폭포,제주 서귀포시,자연경관(산),37562
29,만장굴,제주 제주시 만장굴길 182-0,자연생태,36836
30,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,36339
31,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,35395
32,동문수산시장,제주 제주시 관덕로14길 20-0,시장,34942
33,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,33965
34,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,33597
35,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,33065
36,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,32118
37,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,32068
38,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,31769
39,이마트제주점,제주 제주시 탑동로 38-0,대형마트,31367
40,산굼부리,제주 제주시,복합관광시설,31320
41,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,30781
42,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),30679
43,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,29116
44,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,28800
45,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,28163
46,산방산,제주 서귀포시 산방로 218-10,자연경관(산),27721
47,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,27396
48,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,27136
49,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,자연경관(하천/해양),26965
50,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),26782
51,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),25586
52,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,24947
53,중문관광단지,제주 서귀포시,복합관광시설,24853
54,용눈이오름,제주 제주시,자연경관(산),24466
55,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,24321
56,하귀애월해안도로,제주 제주시,데이트코스,24295
57,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,24162
58,한림공원,제주 제주시 한림로 300-0,도시공원,23971
59,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),23048
60,표선해수욕장,제주 서귀포시,자연경관(하천/해양),22611
61,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),22411
62,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,21965
63,켄싱턴제주호텔,제주 서귀포시 중문관광로72번길 60-0,호텔,21661
64,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),21606
65,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,21258
66,위미동백나무군락,제주 서귀포시,역사유적지,21207
67,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,21123
68,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,20973
69,광치기해변,제주 서귀포시,자연경관(하천/해양),20817
70,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,20515
71,신비의도로,제주 제주시 1100로 2894-63,기타관광,20349
72,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,19953
73,신창풍차해안도로,제주 제주시,데이트코스,19884
74,박물관은살아있다제주중문점,제주 서귀포시 중문관광로 42-0,전시시설,19062
75,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,18910
76,제주러브랜드휴업중,제주 제주시 1100로 2894-72,기타관광,18878
77,애월항,제주 제주시 애월해안로 0-0,자연경관(하천/해양),18738
78,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,18273
79,신라스테이제주,제주 제주시 노연로 100-0,호텔,18212
80,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,18134
81,제주공룡랜드,제주 제주시 광령평화2길 1-0,테마공원,17951
82,피규어뮤지엄제주,제주 서귀포시 한창로 243-0,전시시설,17875
83,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,17848
84,세계자동차&피아노박물관,제주 서귀포시 중산간서로 1610-0,전시시설,17793
85,해비치리조트,제주 서귀포시 민속해안로 537-0,콘도미니엄,17635
86,송악산,제주 서귀포시,자연경관(산),17631
87,호텔휘슬락,제주 제주시 서부두2길 26-0,호텔,17528
88,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,17473
89,선녀와나무꾼테마공원,제주 제주시 선교로 267-0,도시공원,16664
90,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,16576
91,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,16143
92,넥슨컴퓨터박물관,제주 제주시 1100로 3198-8,전시시설,16052
93,제스코마트,제주 제주시 연북로 444-0,대형마트,15860
94,한라수목원,제주 제주시 수목원길 72-0,자연공원,15756
95,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,15349
96,브릭캠퍼스제주,제주 제주시 1100로 3047-0,전시시설,15345
97,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,15318
98,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,15290
99,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,15275
100,제주여미지식물원,제주 서귀포시 중문관광로 93-0,테마공원,14800
