법정동,법정동코드,업종구분소분류,사업체수
일도일동,50110101,관광객이용시설업,0
일도일동,50110101,국제회의업,0
일도일동,50110101,관광숙박업,1
일도일동,50110101,여행업,2
일도일동,50110101,카지노업,0
일도일동,50110101,일반관광유람선업,0
일도이동,50110102,관광객이용시설업,0
일도이동,50110102,국제회의업,0
일도이동,50110102,관광숙박업,1
일도이동,50110102,여행업,8
일도이동,50110102,카지노업,0
일도이동,50110102,일반관광유람선업,0
이도일동,50110103,관광객이용시설업,0
이도일동,50110103,국제회의업,0
이도일동,50110103,관광숙박업,6
이도일동,50110103,여행업,2
이도일동,50110103,카지노업,1
이도일동,50110103,일반관광유람선업,0
이도이동,50110104,관광객이용시설업,1
이도이동,50110104,국제회의업,2
이도이동,50110104,관광숙박업,2
이도이동,50110104,여행업,18
이도이동,50110104,카지노업,0
이도이동,50110104,일반관광유람선업,0
삼도일동,50110105,관광객이용시설업,0
삼도일동,50110105,국제회의업,0
삼도일동,50110105,관광숙박업,5
삼도일동,50110105,여행업,7
삼도일동,50110105,카지노업,0
삼도일동,50110105,일반관광유람선업,0
삼도이동,50110106,관광객이용시설업,0
삼도이동,50110106,국제회의업,1
삼도이동,50110106,관광숙박업,4
삼도이동,50110106,여행업,11
삼도이동,50110106,카지노업,1
삼도이동,50110106,일반관광유람선업,0
건입동,50110107,관광객이용시설업,0
건입동,50110107,국제회의업,1
건입동,50110107,관광숙박업,2
건입동,50110107,여행업,0
건입동,50110107,카지노업,0
건입동,50110107,일반관광유람선업,0
용담일동,50110108,관광객이용시설업,2
용담일동,50110108,국제회의업,2
용담일동,50110108,관광숙박업,1
용담일동,50110108,여행업,7
용담일동,50110108,카지노업,0
용담일동,50110108,일반관광유람선업,0
용담이동,50110109,관광객이용시설업,4
용담이동,50110109,국제회의업,0
용담이동,50110109,관광숙박업,1
용담이동,50110109,여행업,9
용담이동,50110109,카지노업,0
용담이동,50110109,일반관광유람선업,0
용담삼동,50110110,관광객이용시설업,1
용담삼동,50110110,국제회의업,0
용담삼동,50110110,관광숙박업,9
용담삼동,50110110,여행업,3
용담삼동,50110110,카지노업,0
용담삼동,50110110,일반관광유람선업,0
화북일동,50110111,관광객이용시설업,0
화북일동,50110111,국제회의업,0
화북일동,50110111,관광숙박업,0
화북일동,50110111,여행업,3
화북일동,50110111,카지노업,0
화북일동,50110111,일반관광유람선업,0
화북이동,50110112,관광객이용시설업,0
화북이동,50110112,국제회의업,0
화북이동,50110112,관광숙박업,0
화북이동,50110112,여행업,0
화북이동,50110112,카지노업,0
화북이동,50110112,일반관광유람선업,0
삼양일동,50110113,관광객이용시설업,0
삼양일동,50110113,국제회의업,0
삼양일동,50110113,관광숙박업,0
삼양일동,50110113,여행업,0
삼양일동,50110113,카지노업,0
삼양일동,50110113,일반관광유람선업,0
삼양이동,50110114,관광객이용시설업,0
삼양이동,50110114,국제회의업,0
삼양이동,50110114,관광숙박업,1
삼양이동,50110114,여행업,1
삼양이동,50110114,카지노업,0
삼양이동,50110114,일반관광유람선업,0
삼양삼동,50110115,관광객이용시설업,0
삼양삼동,50110115,국제회의업,0
삼양삼동,50110115,관광숙박업,0
삼양삼동,50110115,여행업,0
삼양삼동,50110115,카지노업,0
삼양삼동,50110115,일반관광유람선업,0
봉개동,50110116,관광객이용시설업,0
봉개동,50110116,국제회의업,0
봉개동,50110116,관광숙박업,1
봉개동,50110116,여행업,0
봉개동,50110116,카지노업,0
봉개동,50110116,일반관광유람선업,0
아라일동,50110117,관광객이용시설업,0
아라일동,50110117,국제회의업,0
아라일동,50110117,관광숙박업,0
아라일동,50110117,여행업,8
아라일동,50110117,카지노업,0
아라일동,50110117,일반관광유람선업,0
아라이동,50110118,관광객이용시설업,0
아라이동,50110118,국제회의업,0
아라이동,50110118,관광숙박업,0
아라이동,50110118,여행업,2
아라이동,50110118,카지노업,0
아라이동,50110118,일반관광유람선업,0
오라일동,50110119,관광객이용시설업,0
오라일동,50110119,국제회의업,0
오라일동,50110119,관광숙박업,1
오라일동,50110119,여행업,4
오라일동,50110119,카지노업,0
오라일동,50110119,일반관광유람선업,0
오라이동,50110120,관광객이용시설업,1
오라이동,50110120,국제회의업,0
오라이동,50110120,관광숙박업,1
오라이동,50110120,여행업,2
오라이동,50110120,카지노업,0
오라이동,50110120,일반관광유람선업,0
오라삼동,50110121,관광객이용시설업,2
오라삼동,50110121,국제회의업,0
오라삼동,50110121,관광숙박업,0
오라삼동,50110121,여행업,5
오라삼동,50110121,카지노업,0
오라삼동,50110121,일반관광유람선업,0
노형동,50110122,관광객이용시설업,6
노형동,50110122,국제회의업,2
노형동,50110122,관광숙박업,6
노형동,50110122,여행업,90
노형동,50110122,카지노업,0
노형동,50110122,일반관광유람선업,0
외도일동,50110123,관광객이용시설업,0
외도일동,50110123,국제회의업,2
외도일동,50110123,관광숙박업,1
외도일동,50110123,여행업,3
외도일동,50110123,카지노업,0
외도일동,50110123,일반관광유람선업,0
외도이동,50110124,관광객이용시설업,0
외도이동,50110124,국제회의업,1
외도이동,50110124,관광숙박업,2
외도이동,50110124,여행업,0
외도이동,50110124,카지노업,0
외도이동,50110124,일반관광유람선업,0
이호일동,50110125,관광객이용시설업,2
이호일동,50110125,국제회의업,0
이호일동,50110125,관광숙박업,7
이호일동,50110125,여행업,2
이호일동,50110125,카지노업,0
이호일동,50110125,일반관광유람선업,0
이호이동,50110126,관광객이용시설업,0
이호이동,50110126,국제회의업,0
이호이동,50110126,관광숙박업,0
이호이동,50110126,여행업,1
이호이동,50110126,카지노업,0
이호이동,50110126,일반관광유람선업,0
도두일동,50110127,관광객이용시설업,1
도두일동,50110127,국제회의업,0
도두일동,50110127,관광숙박업,5
도두일동,50110127,여행업,3
도두일동,50110127,카지노업,0
도두일동,50110127,일반관광유람선업,1
도두이동,50110128,관광객이용시설업,0
도두이동,50110128,국제회의업,0
도두이동,50110128,관광숙박업,1
도두이동,50110128,여행업,1
도두이동,50110128,카지노업,0
도두이동,50110128,일반관광유람선업,0
도남동,50110129,관광객이용시설업,10
도남동,50110129,국제회의업,4
도남동,50110129,관광숙박업,0
도남동,50110129,여행업,8
도남동,50110129,카지노업,0
도남동,50110129,일반관광유람선업,0
도련일동,50110130,관광객이용시설업,0
도련일동,50110130,국제회의업,0
도련일동,50110130,관광숙박업,0
도련일동,50110130,여행업,0
도련일동,50110130,카지노업,0
도련일동,50110130,일반관광유람선업,0
도련이동,50110131,관광객이용시설업,0
도련이동,50110131,국제회의업,0
도련이동,50110131,관광숙박업,0
도련이동,50110131,여행업,0
도련이동,50110131,카지노업,0
도련이동,50110131,일반관광유람선업,0
용강동,50110132,관광객이용시설업,0
용강동,50110132,국제회의업,0
용강동,50110132,관광숙박업,0
용강동,50110132,여행업,0
용강동,50110132,카지노업,0
용강동,50110132,일반관광유람선업,0
회천동,50110133,관광객이용시설업,1
회천동,50110133,국제회의업,0
회천동,50110133,관광숙박업,1
회천동,50110133,여행업,0
회천동,50110133,카지노업,0
회천동,50110133,일반관광유람선업,0
오등동,50110134,관광객이용시설업,1
오등동,50110134,국제회의업,0
오등동,50110134,관광숙박업,0
오등동,50110134,여행업,1
오등동,50110134,카지노업,0
오등동,50110134,일반관광유람선업,0
월평동,50110135,관광객이용시설업,0
월평동,50110135,국제회의업,0
월평동,50110135,관광숙박업,0
월평동,50110135,여행업,0
월평동,50110135,카지노업,0
월평동,50110135,일반관광유람선업,0
영평동,50110136,관광객이용시설업,0
영평동,50110136,국제회의업,1
영평동,50110136,관광숙박업,0
영평동,50110136,여행업,1
영평동,50110136,카지노업,0
영평동,50110136,일반관광유람선업,0
연동,50110137,관광객이용시설업,10
연동,50110137,국제회의업,12
연동,50110137,관광숙박업,35
연동,50110137,여행업,95
연동,50110137,카지노업,2
연동,50110137,일반관광유람선업,0
도평동,50110138,관광객이용시설업,0
도평동,50110138,국제회의업,0
도평동,50110138,관광숙박업,0
도평동,50110138,여행업,0
도평동,50110138,카지노업,0
도평동,50110138,일반관광유람선업,0
해안동,50110139,관광객이용시설업,0
해안동,50110139,국제회의업,0
해안동,50110139,관광숙박업,4
해안동,50110139,여행업,2
해안동,50110139,카지노업,0
해안동,50110139,일반관광유람선업,0
내도동,50110140,관광객이용시설업,0
내도동,50110140,국제회의업,0
내도동,50110140,관광숙박업,4
내도동,50110140,여행업,0
내도동,50110140,카지노업,0
내도동,50110140,일반관광유람선업,0
한림읍,50110250,관광객이용시설업,7
한림읍,50110250,국제회의업,0
한림읍,50110250,관광숙박업,23
한림읍,50110250,여행업,1
한림읍,50110250,카지노업,0
한림읍,50110250,일반관광유람선업,0
애월읍,50110253,관광객이용시설업,9
애월읍,50110253,국제회의업,0
애월읍,50110253,관광숙박업,31
애월읍,50110253,여행업,3
애월읍,50110253,카지노업,0
애월읍,50110253,일반관광유람선업,0
구좌읍,50110256,관광객이용시설업,9
구좌읍,50110256,국제회의업,0
구좌읍,50110256,관광숙박업,5
구좌읍,50110256,여행업,1
구좌읍,50110256,카지노업,0
구좌읍,50110256,일반관광유람선업,1
조천읍,50110259,관광객이용시설업,12
조천읍,50110259,국제회의업,0
조천읍,50110259,관광숙박업,6
조천읍,50110259,여행업,1
조천읍,50110259,카지노업,0
조천읍,50110259,일반관광유람선업,0
한경면,50110310,관광객이용시설업,9
한경면,50110310,국제회의업,0
한경면,50110310,관광숙박업,1
한경면,50110310,여행업,0
한경면,50110310,카지노업,0
한경면,50110310,일반관광유람선업,0
추자면,50110320,관광객이용시설업,0
추자면,50110320,국제회의업,0
추자면,50110320,관광숙박업,0
추자면,50110320,여행업,0
추자면,50110320,카지노업,0
추자면,50110320,일반관광유람선업,0
우도면,50110330,관광객이용시설업,1
우도면,50110330,국제회의업,0
우도면,50110330,관광숙박업,0
우도면,50110330,여행업,0
우도면,50110330,카지노업,0
우도면,50110330,일반관광유람선업,0
서귀동,50130101,관광객이용시설업,0
서귀동,50130101,국제회의업,0
서귀동,50130101,관광숙박업,22
서귀동,50130101,여행업,3
서귀동,50130101,카지노업,0
서귀동,50130101,일반관광유람선업,0
법환동,50130102,관광객이용시설업,3
법환동,50130102,국제회의업,0
법환동,50130102,관광숙박업,7
법환동,50130102,여행업,0
법환동,50130102,카지노업,0
법환동,50130102,일반관광유람선업,0
서호동,50130103,관광객이용시설업,0
서호동,50130103,국제회의업,0
서호동,50130103,관광숙박업,1
서호동,50130103,여행업,1
서호동,50130103,카지노업,0
서호동,50130103,일반관광유람선업,0
호근동,50130104,관광객이용시설업,2
호근동,50130104,국제회의업,0
호근동,50130104,관광숙박업,5
호근동,50130104,여행업,1
호근동,50130104,카지노업,0
호근동,50130104,일반관광유람선업,0
동홍동,50130105,관광객이용시설업,1
동홍동,50130105,국제회의업,0
동홍동,50130105,관광숙박업,2
동홍동,50130105,여행업,2
동홍동,50130105,카지노업,0
동홍동,50130105,일반관광유람선업,0
서홍동,50130106,관광객이용시설업,1
서홍동,50130106,국제회의업,0
서홍동,50130106,관광숙박업,5
서홍동,50130106,여행업,0
서홍동,50130106,카지노업,0
서홍동,50130106,일반관광유람선업,1
상효동,50130107,관광객이용시설업,4
상효동,50130107,국제회의업,0
상효동,50130107,관광숙박업,1
상효동,50130107,여행업,0
상효동,50130107,카지노업,0
상효동,50130107,일반관광유람선업,0
하효동,50130108,관광객이용시설업,2
하효동,50130108,국제회의업,0
하효동,50130108,관광숙박업,0
하효동,50130108,여행업,0
하효동,50130108,카지노업,0
하효동,50130108,일반관광유람선업,0
신효동,50130109,관광객이용시설업,0
신효동,50130109,국제회의업,0
신효동,50130109,관광숙박업,1
신효동,50130109,여행업,0
신효동,50130109,카지노업,0
신효동,50130109,일반관광유람선업,0
보목동,50130110,관광객이용시설업,1
보목동,50130110,국제회의업,0
보목동,50130110,관광숙박업,3
보목동,50130110,여행업,0
보목동,50130110,카지노업,0
보목동,50130110,일반관광유람선업,0
토평동,50130111,관광객이용시설업,0
토평동,50130111,국제회의업,0
토평동,50130111,관광숙박업,5
토평동,50130111,여행업,0
토평동,50130111,카지노업,0
토평동,50130111,일반관광유람선업,0
중문동,50130112,관광객이용시설업,2
중문동,50130112,국제회의업,1
중문동,50130112,관광숙박업,9
중문동,50130112,여행업,0
중문동,50130112,카지노업,0
중문동,50130112,일반관광유람선업,0
회수동,50130113,관광객이용시설업,0
회수동,50130113,국제회의업,0
회수동,50130113,관광숙박업,1
회수동,50130113,여행업,0
회수동,50130113,카지노업,0
회수동,50130113,일반관광유람선업,0
대포동,50130114,관광객이용시설업,5
대포동,50130114,국제회의업,0
대포동,50130114,관광숙박업,10
대포동,50130114,여행업,0
대포동,50130114,카지노업,0
대포동,50130114,일반관광유람선업,1
월평동,50130115,관광객이용시설업,0
월평동,50130115,국제회의업,0
월평동,50130115,관광숙박업,0
월평동,50130115,여행업,0
월평동,50130115,카지노업,0
월평동,50130115,일반관광유람선업,0
강정동,50130116,관광객이용시설업,3
강정동,50130116,국제회의업,0
강정동,50130116,관광숙박업,18
강정동,50130116,여행업,0
강정동,50130116,카지노업,0
강정동,50130116,일반관광유람선업,0
도순동,50130117,관광객이용시설업,1
도순동,50130117,국제회의업,0
도순동,50130117,관광숙박업,0
도순동,50130117,여행업,0
도순동,50130117,카지노업,0
도순동,50130117,일반관광유람선업,0
하원동,50130118,관광객이용시설업,0
하원동,50130118,국제회의업,0
하원동,50130118,관광숙박업,2
하원동,50130118,여행업,0
하원동,50130118,카지노업,0
하원동,50130118,일반관광유람선업,0
색달동,50130119,관광객이용시설업,6
색달동,50130119,국제회의업,0
색달동,50130119,관광숙박업,12
색달동,50130119,여행업,2
색달동,50130119,카지노업,3
색달동,50130119,일반관광유람선업,1
상예동,50130120,관광객이용시설업,1
상예동,50130120,국제회의업,0
상예동,50130120,관광숙박업,5
상예동,50130120,여행업,0
상예동,50130120,카지노업,0
상예동,50130120,일반관광유람선업,0
하예동,50130121,관광객이용시설업,0
하예동,50130121,국제회의업,0
하예동,50130121,관광숙박업,6
하예동,50130121,여행업,0
하예동,50130121,카지노업,0
하예동,50130121,일반관광유람선업,0
영남동,50130122,관광객이용시설업,0
영남동,50130122,국제회의업,0
영남동,50130122,관광숙박업,1
영남동,50130122,여행업,0
영남동,50130122,카지노업,0
영남동,50130122,일반관광유람선업,0
대정읍,50130250,관광객이용시설업,2
대정읍,50130250,국제회의업,0
대정읍,50130250,관광숙박업,10
대정읍,50130250,여행업,2
대정읍,50130250,카지노업,0
대정읍,50130250,일반관광유람선업,1
남원읍,50130253,관광객이용시설업,2
남원읍,50130253,국제회의업,0
남원읍,50130253,관광숙박업,4
남원읍,50130253,여행업,2
남원읍,50130253,카지노업,0
남원읍,50130253,일반관광유람선업,0
성산읍,50130259,관광객이용시설업,9
성산읍,50130259,국제회의업,1
성산읍,50130259,관광숙박업,26
성산읍,50130259,여행업,2
성산읍,50130259,카지노업,0
성산읍,50130259,일반관광유람선업,1
안덕면,50130310,관광객이용시설업,7
안덕면,50130310,국제회의업,0
안덕면,50130310,관광숙박업,12
안덕면,50130310,여행업,2
안덕면,50130310,카지노업,0
안덕면,50130310,일반관광유람선업,1
표선면,50130320,관광객이용시설업,10
표선면,50130320,국제회의업,0
표선면,50130320,관광숙박업,5
표선면,50130320,여행업,1
표선면,50130320,카지노업,0
표선면,50130320,일반관광유람선업,0
