순위,시도명,관광지명,주소,중분류,소분류,검색건수
1,강원도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,224119
2,서울특별시,더현대서울,서울 영등포구 여의대로 108-0,쇼핑,백화점,182861
3,경상남도,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,170316
4,경기도,코스트코홀세일하남점,경기 하남시 미사강변중앙로 40-0,쇼핑,대형마트,166530
5,경기도,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,165938
6,강원도,쏠비치삼척,강원 삼척시 수로부인길 453-0,숙박,콘도미니엄,160854
7,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,157627
8,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,143233
9,강원도,체스터톤스속초,강원 속초시 엑스포로 109-0,숙박,호텔,136416
10,강원도,소노벨비발디파크,강원 홍천군 한치골길 262-0,숙박,콘도미니엄,135660
11,서울특별시,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,126927
12,서울특별시,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,126066
13,경기도,오산오색시장,경기 오산시 오산로278번길 10-0,쇼핑,시장,122064
14,경기도,롯데백화점안산점,경기 안산시 단원구 고잔1길 12-0,쇼핑,백화점,116472
15,경기도,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점,113276
16,강원도,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양),110167
17,경기도,PPO,경기 평택시 경기대로 945-0,쇼핑,대형마트,107968
18,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,106942
19,부산광역시,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,106815
20,강원도,소노펠리체 비발디파크,강원 홍천군 한치골길 262-0,숙박,콘도미니엄,101688
21,서울특별시,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,97235
22,경기도,코스트코홀세일공세점,경기 용인시 기흥구 탑실로 38-0,쇼핑,대형마트,96892
23,대전광역시,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,쇼핑,백화점,94075
24,인천광역시,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),93192
25,강원도,강릉중앙시장,강원 강릉시 금성로 21-0,쇼핑,시장,91200
26,대구광역시,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,88762
27,경기도,용인중앙시장,경기 용인시 처인구 용문로 198-1,쇼핑,시장,85616
28,서울특별시,코스트코홀세일양재점,서울 서초구 양재대로 159-0,쇼핑,대형마트,83509
29,경기도,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,쇼핑,백화점,82145
30,경상남도,롯데백화점창원점,경남 창원시 성산구 중앙대로 124-0,쇼핑,백화점,82060
31,경기도,코스트코홀세일광명점,경기 광명시 일직로 40-0,쇼핑,대형마트,80730
32,경기도,여주CC,경기 여주시 월평로 78-0,레저스포츠,육상레저스포츠,79328
33,경기도,코스트코홀세일일산점,경기 고양시 일산동구 장백로 25-0,쇼핑,대형마트,78264
34,경기도,이마트트레이더스동탄점,경기 화성시 동탄대로 451-0,쇼핑,대형마트,75134
35,서울특별시,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,74711
36,서울특별시,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,73176
37,서울특별시,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,72752
38,서울특별시,HDC아이파크몰,서울 용산구 한강대로23길 55-0,쇼핑,백화점,71840
39,서울특별시,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,71732
40,경기도,롯데마트오산점,경기 오산시 경기대로 271-0,쇼핑,대형마트,69232
41,서울특별시,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,69192
42,경기도,홈플러스송탄점,경기 평택시 경기대로 1103-0,쇼핑,대형마트,68976
43,강원도,안목해변,강원 강릉시 창해로14번길 20-1,자연관광,자연경관(하천/해양),68544
44,경기도,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,68201
45,부산광역시,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,68079
46,서울특별시,코스트코홀세일양평점,서울 영등포구 선유로 156-0,쇼핑,대형마트,67228
47,부산광역시,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),67050
48,서울특별시,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,65601
49,경기도,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,65358
50,경기도,CGV평택고덕,경기 평택시 경기대로 945-0,문화관광,공연시설,64752
51,경기도,이마트트레이더스위례점,경기 하남시 위례대로 200-0,쇼핑,대형마트,63880
52,인천광역시,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,63359
53,경기도,관문체육공원,경기 과천시 중앙로 294-0,문화관광,도시공원,63248
54,인천광역시,코스트코홀세일송도점,인천 연수구 컨벤시아대로230번길 60-0,쇼핑,대형마트,63108
55,경기도,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,61917
56,전라북도,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,61703
57,서울특별시,이마트트레이더스월계점,서울 노원구 마들로3길 17-0,쇼핑,대형마트,60527
58,부산광역시,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),60366
59,경기도,코스트코홀세일의정부점,경기 의정부시 용민로489번길 9-0,쇼핑,대형마트,60137
60,강원도,서피비치,강원 양양군 하조대해안길 119-0,레저스포츠,수상레저스포츠,58675
61,서울특별시,그랜드워커힐서울,서울 광진구 워커힐로 177-0,숙박,호텔,58045
62,서울특별시,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점,57642
63,부산광역시,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양),57078
64,강원도,클럽모우GC,강원 홍천군 장락동길 111-0,레저스포츠,육상레저스포츠,56800
65,인천광역시,이마트트레이더스송림점,인천 동구 봉수대로 82-0,쇼핑,대형마트,56583
66,경기도,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점,56570
67,서울특별시,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,56378
68,경기도,AK플라자AK타운점,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,55399
69,경상남도,이마트창원점,경남 창원시 성산구 원이대로 608-0,쇼핑,대형마트,55016
70,서울특별시,코스트코홀세일상봉점,서울 중랑구 망우로 336-0,쇼핑,대형마트,54946
71,강원도,강원랜드카지노,강원 정선군 하이원길 265-0,문화관광,기타문화관광지,53949
72,서울특별시,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,53817
73,경기도,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,53469
74,제주특별자치도,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,53013
75,경기도,롯데시네마센트럴락,경기 안산시 단원구 고잔로 108-0,문화관광,공연시설,53008
76,세종특별자치시,코스트코홀세일세종점,세종시 종합운동장1로 14-0,쇼핑,대형마트,52332
77,경기도,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,52002
78,서울특별시,이마트월계점,서울 노원구 마들로3길 15-0,쇼핑,대형마트,51351
79,서울특별시,이마트성수점,서울 성동구 뚝섬로 379-0,쇼핑,대형마트,51261
80,경기도,CGV용인,경기 용인시 처인구 금령로 86-0,문화관광,공연시설,50872
81,강원도,이마트강릉점,강원 강릉시 경강로 2398-10,쇼핑,대형마트,50730
82,경상북도,황리단길,경북 경주시,음식,음식점기타,50154
83,강원도,한화리조트설악쏘라노,강원 속초시 미시령로2983번길 111-0,숙박,콘도미니엄,49711
84,인천광역시,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),49670
85,서울특별시,하나로마트양재점,서울 서초구 청계산로 10-0,쇼핑,대형마트,49420
86,경기도,해슬리나인브릿지,경기 여주시 명품1로 76-0,레저스포츠,육상레저스포츠,49128
87,경기도,홈플러스서수원점,경기 수원시 권선구 금곡로 236-0,쇼핑,대형마트,49092
88,경기도,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,48896
89,부산광역시,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑,대형마트,48705
90,전라남도,이순신광장,전남 여수시,문화관광,도시공원,48580
91,경기도,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,48573
92,강원도,소노펠리체빌리지비발디파크,강원 홍천군 한치골길 541-123,숙박,콘도미니엄,48552
93,제주특별자치도,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),48237
94,경기도,이마트분당점,경기 성남시 분당구 불정로 134-0,쇼핑,대형마트,47924
95,경기도,이마트트레이더스킨텍스점,경기 고양시 일산서구 킨텍스로 171-0,쇼핑,대형마트,47595
96,제주특별자치도,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,47512
97,경기도,이마트트레이더스스타필드하남점,경기 하남시 미사대로 750-0,쇼핑,대형마트,47494
98,제주특별자치도,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양),47443
99,강원도,파가니카CC,강원 춘천시 소주고개로 145-10,레저스포츠,육상레저스포츠,47415
100,경기도,이마트트레이더스김포점,경기 김포시 김포대로 715-0,쇼핑,대형마트,47260
